riverseg, landseg, area (acres) ***
MN2_7720_7830,A51135,1154.81
MN2_7830_7950,A51053,68727.36
MN2_7830_7950,A51183,16908.58
MN2_7850_0000,A51550,43079.1
MN2_7850_0000,A51810,62577.5
MN2_8100_8190,A51037,2250.11
MN2_8100_8190,A51111,61163.6
MN2_8250_8190,A51037,6564.19
MN2_8250_8190,A51111,34311.02
MN2_8250_8190,A51117,26066.08
MN2_8530_8510,A37131,2344.49
MN2_8530_8510,A51025,35935
MN2_8530_8510,A51081,5646.41
MN3_7540_7680,A51053,2227.85
MN3_7540_7680,A51730,4901.53
MN3_7540_7680,A51149,67893.93
MN3_7540_7680,A51181,70457.99
MN3_7540_7680,A51183,39796.1
MN3_7680_7860,A51093,3909
MN3_7680_7860,A51175,7198.18
MN3_7680_7860,A51181,10734.9
MN3_7680_7860,A51183,487.68
MN3_7770_7930,A51025,22460.85
MN3_7770_7930,A51053,18469.46
MN3_7770_7930,A51111,64103.13
MN3_7770_7930,A51135,94592.39
MN3_7770_7930,A51147,9468.82
MN3_7860_8080,A51093,26520.93
MN3_7860_8080,A51175,12304.79
MN3_7930_8010,A51025,78073.69
MN3_7930_8010,A51053,38561.22
MN3_7930_8010,A51081,17371.48
MN3_7930_8010,A51111,401.45
MN3_7930_8010,A51183,22667.97
MN3_8010_7950,A51183,7945.71
MN3_8150_0000,A51550,68439.69
MN3_8150_0000,A51810,2173.26
MN3_8190_8260,A51025,57954.46
MN3_8190_8260,A51111,81460.88
MN3_8190_8260,A51117,41952.63
MN4_7710_8161,A51053,2499.11
MN4_7710_8161,A51149,23439.43
MN4_7710_8161,A51175,12679.62
MN4_7710_8161,A51183,125236.12
MN4_7810_8080,A51175,48311.65
MN4_7810_8080,A51181,2239.3
MN4_7810_8080,A51183,15467.56
MN4_7950_7710,A51183,7292.81
MN4_8080_8110,A51093,20300.34
MN4_8080_8110,A51175,2731.42
MN4_8080_8110,A51800,1148.05
MN4_8110_0000,A51620,4501.21
MN4_8110_0000,A51093,21316.24
MN4_8110_0000,A51175,32308.1
MN4_8110_0000,A51800,22542.4
MN4_8260_8400,A51025,112500.52
MN4_8260_8400,A51595,1034.76
MN4_8260_8400,A51081,12384.52
MN4_8260_8400,A51111,4046.47
MN4_8380_0000,A51081,814.78
MN4_8380_0000,A51175,72613.3
MN4_8400_8380,A51595,3267.76
MN4_8400_8380,A51081,28129.24
MN4_8400_8380,A51175,9283.66
MN4_8510_8380,A37131,28059.52
MN4_8510_8380,A51025,4016.71
MN4_8510_8380,A51081,77680.24
MN5_8160_0000,A51620,806.36
MN5_8160_0000,A51175,96017.15
MN5_8161_8160,A51175,15902.42
MN5_8230_8161,A51025,10050.39
MN5_8230_8161,A51595,187.02
MN5_8230_8161,A51081,47837.73
MN5_8230_8161,A51175,50530.61
MN5_8230_8161,A51183,31089.93
NR0_8310_0000,A51185,61670.02
NR0_8310_0000,B51185,20447.82
NR1_7880_8050,A51071,28199.43
NR1_7880_8050,B51071,1574.52
NR1_7880_8050,A54063,303.06
NR1_8030_8051,A51071,957.64
NR1_8030_8051,B51071,2323.19
NR1_8030_8051,A54063,30907.65
NR1_8820_8760,B51077,377.7
NR1_8820_8760,A51173,15703.01
NR1_8820_8760,B51173,5305.53
